evidence_file_id,case_id,filename,file_type,detected_type,classification_confidence,investigator_override,upload_timestamp,processing_status
EVD-000022,CYB-2026-001,FIR-0022.txt,.txt,FIR,0.939,,2026-07-23T15:00:00,processed
EVD-000023,CYB-2026-001,FIR-0023.txt,.txt,FIR,0.92,,2026-07-23T13:00:00,processed
EVD-000024,CYB-2026-001,FIR-0024.txt,.txt,FIR,0.936,,2026-07-22T03:00:00,processed
EVD-000025,CYB-2026-001,FIR-0025.txt,.txt,FIR,0.958,,2026-07-23T14:00:00,processed
EVD-000026,CYB-2026-001,FIR-0026.txt,.txt,FIR,0.983,,2026-07-23T22:00:00,processed
EVD-000027,CYB-2026-001,FIR-0027.txt,.txt,FIR,0.936,,2026-07-21T04:00:00,processed
EVD-000028,CYB-2026-001,FIR-0028.txt,.txt,FIR,0.903,,2026-07-22T16:00:00,processed
EVD-000029,CYB-2026-001,FIR-0029.txt,.txt,FIR,0.982,,2026-07-22T21:00:00,processed
EVD-000030,CYB-2026-001,FIR-0030.txt,.txt,FIR,0.905,,2026-07-23T18:00:00,processed
EVD-000031,CYB-2026-001,FIR-0031.txt,.txt,FIR,0.983,,2026-07-22T04:00:00,processed
EVD-000032,CYB-2026-001,FIR-0032.txt,.txt,FIR,0.927,,2026-07-21T15:00:00,processed
EVD-000033,CYB-2026-001,FIR-0033.txt,.txt,FIR,0.973,,2026-07-23T23:00:00,processed
EVD-000034,CYB-2026-001,FIR-0034.txt,.txt,FIR,0.397,FIR,2026-07-22T16:00:00,processed
EVD-000035,CYB-2026-001,FIR-0035.txt,.txt,FIR,0.985,,2026-07-22T10:00:00,processed
EVD-000036,CYB-2026-001,FIR-0036.txt,.txt,FIR,0.712,,2026-07-23T16:00:00,processed
EVD-000037,CYB-2026-001,FIR-0037.txt,.txt,FIR,0.961,,2026-07-22T09:00:00,processed
EVD-000038,CYB-2026-001,FIR-0038.txt,.txt,FIR,0.925,,2026-07-21T08:00:00,processed
EVD-000039,CYB-2026-001,FIR-0039.txt,.txt,FIR,0.962,,2026-07-23T14:00:00,processed
EVD-000040,CYB-2026-001,FIR-0040.txt,.txt,FIR,0.924,,2026-07-21T21:00:00,processed
EVD-000041,CYB-2026-001,FIR-0041.txt,.txt,FIR,0.988,,2026-07-23T08:00:00,processed
EVD-000042,CYB-2026-001,FIR-0042.txt,.txt,FIR,0.906,,2026-07-22T19:00:00,processed
EVD-000043,CYB-2026-001,FIR-0043.txt,.txt,FIR,0.945,,2026-07-22T17:00:00,processed
EVD-000044,CYB-2026-001,FIR-0044.txt,.txt,FIR,0.982,,2026-07-21T12:00:00,processed
EVD-000045,CYB-2026-001,FIR-0045.txt,.txt,FIR,0.976,,2026-07-22T05:00:00,processed
EVD-000046,CYB-2026-001,FIR-0046.txt,.txt,FIR,0.962,,2026-07-22T10:00:00,processed
EVD-000047,CYB-2026-001,FIR-0047.txt,.txt,FIR,0.903,,2026-07-22T04:00:00,processed
EVD-000048,CYB-2026-001,FIR-0048.txt,.txt,FIR,0.961,,2026-07-21T05:00:00,processed
EVD-000049,CYB-2026-001,FIR-0049.txt,.txt,FIR,0.944,,2026-07-23T06:00:00,processed
EVD-000050,CYB-2026-001,FIR-0050.txt,.txt,FIR,0.949,,2026-07-22T07:00:00,processed
EVD-000051,CYB-2026-001,FIR-0051.txt,.txt,FIR,0.974,,2026-07-21T20:00:00,processed
EVD-000052,CYB-2026-001,FIR-0052.txt,.txt,FIR,0.96,,2026-07-22T19:00:00,processed
EVD-000053,CYB-2026-001,FIR-0053.txt,.txt,FIR,0.941,,2026-07-22T07:00:00,processed
EVD-000054,CYB-2026-001,FIR-0054.txt,.txt,FIR,0.911,,2026-07-21T13:00:00,processed
EVD-000055,CYB-2026-001,FIR-0055.txt,.txt,FIR,0.931,,2026-07-23T03:00:00,processed
EVD-000056,CYB-2026-001,FIR-0056.txt,.txt,FIR,0.987,,2026-07-22T12:00:00,processed
EVD-000057,CYB-2026-001,FIR-0057.txt,.txt,FIR,0.947,,2026-07-21T16:00:00,processed
EVD-000058,CYB-2026-001,FIR-0058.txt,.txt,FIR,0.839,,2026-07-21T23:00:00,processed
EVD-000059,CYB-2026-001,FIR-0059.txt,.txt,FIR,0.902,,2026-07-22T19:00:00,processed
EVD-000060,CYB-2026-001,FIR-0060.txt,.txt,FIR,0.733,,2026-07-22T15:00:00,processed
EVD-000061,CYB-2026-001,FIR-0061.txt,.txt,FIR,0.95,,2026-07-22T23:00:00,processed
EVD-000062,CYB-2026-001,FIR-0062.txt,.txt,FIR,0.31,FIR,2026-07-22T04:00:00,processed
EVD-000063,CYB-2026-001,FIR-0063.txt,.txt,FIR,0.344,FIR,2026-07-23T21:00:00,processed
EVD-000064,CYB-2026-001,FIR-0064.txt,.txt,FIR,0.94,,2026-07-23T03:00:00,processed
EVD-000065,CYB-2026-001,FIR-0065.txt,.txt,FIR,0.904,,2026-07-22T14:00:00,processed
EVD-000066,CYB-2026-001,FIR-0066.txt,.txt,FIR,0.357,FIR,2026-07-21T15:00:00,processed
EVD-000067,CYB-2026-001,FIR-0067.txt,.txt,FIR,0.917,,2026-07-23T14:00:00,processed
EVD-000068,CYB-2026-001,FIR-0068.txt,.txt,FIR,0.915,,2026-07-24T00:00:00,processed
EVD-000069,CYB-2026-001,FIR-0069.txt,.txt,FIR,0.909,,2026-07-21T07:00:00,processed
EVD-000070,CYB-2026-001,FIR-0070.txt,.txt,FIR,0.926,,2026-07-21T23:00:00,processed
EVD-000071,CYB-2026-001,FIR-0071.txt,.txt,FIR,0.915,,2026-07-23T21:00:00,processed
EVD-000072,CYB-2026-001,FIR-0072.txt,.txt,FIR,0.323,FIR,2026-07-22T12:00:00,processed
EVD-000073,CYB-2026-001,FIR-0073.txt,.txt,FIR,0.965,,2026-07-22T22:00:00,processed
EVD-000074,CYB-2026-001,FIR-0074.txt,.txt,FIR,0.926,,2026-07-21T22:00:00,processed
EVD-000075,CYB-2026-001,FIR-0075.txt,.txt,FIR,0.983,,2026-07-23T04:00:00,processed
EVD-000076,CYB-2026-001,FIR-0076.txt,.txt,FIR,0.923,,2026-07-21T09:00:00,processed
EVD-000077,CYB-2026-001,FIR-0077.txt,.txt,FIR,0.969,,2026-07-22T20:00:00,processed
EVD-000078,CYB-2026-001,FIR-0078.txt,.txt,FIR,0.94,,2026-07-21T06:00:00,processed
EVD-000079,CYB-2026-001,FIR-0079.txt,.txt,FIR,0.936,,2026-07-23T03:00:00,processed
EVD-000080,CYB-2026-001,FIR-0080.txt,.txt,FIR,0.907,,2026-07-23T15:00:00,processed
EVD-000081,CYB-2026-001,FIR-0081.txt,.txt,FIR,0.986,,2026-07-23T05:00:00,processed
EVD-000082,CYB-2026-001,FIR-0082.txt,.txt,FIR,0.99,,2026-07-21T05:00:00,processed
EVD-000083,CYB-2026-001,CDR_0001.csv,.csv,CDR,0.35,CDR,2026-07-22T09:00:00,processed
EVD-000084,CYB-2026-001,transactions_0001.csv,.csv,FINANCIAL,0.799,,2026-07-23T23:00:00,processed
EVD-000085,CYB-2026-001,persons.csv,.csv,ENTITY_LIST,0.962,,2026-07-23T00:00:00,processed
EVD-000086,CYB-2026-001,accounts.csv,.csv,ENTITY_LIST,0.926,,2026-07-21T01:00:00,processed
EVD-000087,CYB-2026-001,vehicles.csv,.csv,VEHICLE_RECORD,0.983,,2026-07-21T00:00:00,processed
